#ipa. base
b i zʲ	b zʲ a
ʧʲ i nʲ	ʧʲ nʲ a
d u m i lʲ	d u m lʲ a
g a s u t	g a s t a
gʲ e rʲ	gʲ rʲ i 
gʲ i d l a	gʲ i dʲ i l 
g l a 	gʲ i l 
g n o 	g o n 
g r o 	g u r 
g u n 	g n a 
k a s a p 	k a s p a 
k a ʃ o p 	k a ʃ p a 
k a sʲ 	k sʲ e j 
kʲ e l 	k l a 
k o lʲ 	k lʲ e j 
k o r u t 	k o r t a 
k t a 	k a t 
l o t o p 	l o t p a 
m i kʲ e t 	m i k t a 
p o lʲ 	p lʲ e j 
p o sʲ e n 	p o s n a 
r a pʲ j a 	r a pʲ e j 
r u d n a 	r u d a n 
r i ʃ o n 	r i ʃ n a 
ʃ a p 	ʃ p a 
ʃʲ i r 	ʃ r a 
s u lʲ 	s lʲ e j 
tʲ o ʃʲ 	t ʃʲ e j 
t m a 	t o m 
t o gʲ e l 	t o g l o m 
v u tʲ e r 	v u t r a 
x a lʲ 	x lʲ e j 
x l a 	xʲ e l 
x o r k a 	x o r o k 
x r o 	x a r 
x u t a m 	x u t m a 
ʒ o m 	ʒ m a 
ʒ u sʲ e l 	ʒ u s l a 
z m o 	zʲ e m 
z n a 	z u n 
z r o 	zʲ i r 
z u rʲ 	z rʲ e j 
z u t ʃ a 	z u t u ʃ 
