# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
a b z á ʦ	a b z á ʦ a
#ʃ é lʲ e s t	ʃ é lʲ e s t a
b a r á nʲ e ʦ	b a r á n ʦ a
b a r á n o k	b a r á n k a
#l u ʒ é nʲ i j e	l u ʒ é nʲ i j a
#z a s á s i v a nʲ i j e	z a s á s i v a nʲ i j a
#ʒ i tʲ j í ʃ k o	ʒ i tʲ j í ʃ k a
#z a v ó d s kʲ i j	z a v ó d s k o g o
#z a v o d s k ó j	z a v o d s k ó g o
#z a d ó k	z a d k á
#lʲ é v	lʲ é v a
lʲ é v	lʲ v á
#ʧʲ e s n o ʧʲ ó k	ʧʲ e s n o ʧʲ k á
ú ʧʲ a s tʲ	ú ʧʲ a s tʲ i
#d lʲ i n á	d lʲ i n í
#ʧʲ é ʃ k a	ʧʲ é ʃ kʲ i
#ʧʲ i s t o p lʲ ú j k a	ʧʲ i s t o p lʲ ú j kʲ i
#ʃ a r á ʃ k a	ʃ a r á ʃ kʲ i
ʧʲ u ʒ bʲ í n a	ʧʲ u ʒ bʲ í n i
#z v ú k o pʲ i sʲ	z v ú k o pʲ i sʲ i
j a j ʦ ó	j a j ʦ á
s t rʲ e mʲ a	s t rʲ e mʲ e n i
bʲ e z v ó dʲ j e	bʲ e z v ó dʲ j a
#mʲ e l o v ʃ ʃʲ í k	mʲ e l o v ʃ ʃʲ i k á
#mʲ e t a bʲ i ó z	mʲ e t a bʲ i ó z a
#m u r á ʃ	m u r a ʃ á
# tʲ e s a ʧʲ ó k	tʲ e s a ʧʲ k á
# k ó l	k o l á
m á tʲ	m á tʲ e r i
# ʒ í r	ʒ í r a
# z a b ó rʲ i ʃʃʲ e	z a b ó rʲ i ʃʃʲ i
# z a v ó dʲ i ʃʃʲ e	z a v ó dʲ i ʃʃʲ i
# z a ʧʲ é s tʲ sʲ a	z a ʧʲ tʲ ó m sʲ a
# zʲ é n kʲ e r	zʲ é n kʲ e r a
# k a dʲ é t	k a dʲ é t a
# k á p sʲ e lʲ	k á p sʲ e lʲ a
# k a rʲ é l	k a rʲ é l a
# k a r t vʲ é l	k a r t vʲ é l a
# k á u pʲ e r	k á u pʲ e r a
# kʲ i r a sʲ í r	kʲ i r a sʲ í r a
# k l á p a n	k l á p a n a
# k lʲ é j	k lʲ é j a
# k o ʒ ú x	k o ʒ u x á
# k o s t rʲ í ʃʃʲ e	k o s t rʲ í ʃʃʲ i
# k o t lʲ í ʃʃʲ e	k o t lʲ í ʃʃʲ i
# k rʲ u ʧʲ í ʃʃʲ e	k rʲ u ʧʲ í ʃʃʲ i
# k u sʲ í ʃʃʲ e	k u sʲ í ʃʃʲ i
# kʲ u rʲ í n	kʲ u rʲ í n a
lʲ ó d	lʲ d á
# lʲ è j b - g u s á r	lʲ è j b - g u s á r a
# lʲ é mʲ e x	lʲ e mʲ e x á
# lʲ e sʲ í ʃʃʲ e	lʲ e sʲ í ʃʃʲ i
# lʲ í sʲ e lʲ	lʲ í sʲ e lʲ a
# lʲ ú t nʲ a	lʲ ú t nʲ i
# m a nʲ ʧʲ ʒ ú r	m a nʲ ʧʲ ʒ ú r a
# m á r sʲ e lʲ	m á r sʲ e lʲ a
# mʲ e g rʲ é l	mʲ e g rʲ é l a
# mʲ ó d	mʲ ó d a
# mʲ é l	mʲ é l a
# mʲ é r gʲ e lʲ	mʲ é r gʲ e lʲ a
# mʲ é x	mʲ é x a
# m ó z g	m ó z g a
# m o r ó zʲ i ʃʃʲ e	m o r ó zʲ i ʃʃʲ i
# m ó x	m x á
# m rʲ é ʒ a	m rʲ é ʒ i
# m ú fʲ e lʲ	m ú fʲ e lʲ a
# m ú ʃ kʲ e lʲ	m ú ʃ kʲ e lʲ a
# n á gʲ e lʲ	n á gʲ e lʲ a
# n a r ó dʲ i ʃʃʲ e	n a r ó dʲ i ʃʃʲ i
# n g a n a s á n	n g a n a s á n a
# nʲ í p pʲ e lʲ	nʲ í p pʲ e lʲ a
# n o ʒ í ʃʃʲ e	n o ʒ í ʃʃʲ i
# o b ʧʲ é s tʲ sʲ a	o b o ʧʲ tʲ ó m sʲ a
# o g nʲ í ʃʃʲ e	o g nʲ í ʃʃʲ i
# pʲ é lʲ e n g	pʲ é lʲ e n g a
# p lʲ í n t u s	p lʲ í n t u s a
# p nʲ í ʃʃʲ e	p nʲ í ʃʃʲ i
# p o ʒ á rʲ i ʃʃʲ e	p o ʒ á rʲ i ʃʃʲ i
# p r o s t i nʲ á	p r o s t i nʲ í
# r á kʲ e lʲ	r á kʲ e lʲ a
# r a s ʧʲ é s tʲ sʲ a	r a z o ʧʲ tʲ ó m sʲ a
# rʲ í gʲ e lʲ	rʲ í gʲ e lʲ a
# r ú m pʲ e lʲ	r ú m pʲ e lʲ a
# s a r m á t	s a r m á t a
# s vʲ é t	s vʲ é t a
# sʲ é j nʲ e r	sʲ é j nʲ e r a
# s k ó bʲ e lʲ	s k ó bʲ e lʲ a
# s k rʲ é pʲ e r	s k rʲ é pʲ e r a
# s k r ú b bʲ e r	s k r ú b bʲ e r a
# s nʲ é g	s nʲ é g a
# s nʲ e ʒ í ʃʃʲ e	s nʲ e ʒ í ʃʃʲ i
# s ó k	s ó k a
# s pʲ í r t	s pʲ í r t a
# s t á kʲ e r	s t á kʲ e r a
# s t á k sʲ e lʲ	s t á k sʲ e lʲ a
# s t o ʒ í ʃʃʲ e	s t o ʒ í ʃʃʲ i
# s t o lʲ í ʃʃʲ e	s t o lʲ í ʃʃʲ i
# s t ó p o r	s t ó p o r a
# s u g r ó bʲ i ʃʃʲ e	s u g r ó bʲ i ʃʃʲ i
# s ú p	s ú p a
# s ʧʲ é s tʲ sʲ a	s o ʧʲ tʲ ó m sʲ a
# t a b a ʧʲ í ʃʃʲ e	t a b a ʧʲ í ʃʃʲ i
# t á n kʲ e r	t á n kʲ e r a
# tʲ é n dʲ e r	tʲ é n dʲ e r a
# t o mʲ í ʃʃʲ e	t o mʲ í ʃʃʲ i
# t o p o rʲ í ʃʃʲ e	t o p o rʲ í ʃʃʲ i
# t ó p sʲ e lʲ	t ó p sʲ e lʲ a
# t o x á r	t o x á r a
# t rʲ í j e r	t rʲ í j e r a
# t rʲ í sʲ e lʲ	t rʲ í sʲ e lʲ a
# t rʲ ú m	t rʲ ú m a
# t rʲ ú m sʲ e lʲ	t rʲ ú m sʲ e lʲ a
# t u r k mʲ é n	t u r k mʲ é n a
# t u ʃ í n	t u ʃ í n a
# u j g ú r	u j g ú r a
# u l á n	u l á n a
# f rʲ é zʲ e r	f rʲ é zʲ e r a
# xʲ e v s ú r	xʲ e v s ú r a
# x o l o dʲ í ʃʃʲ e	x o l o dʲ í ʃʃʲ i
# ʦ a x ú r	ʦ a x ú r a
# ʧʲ á d	ʧʲ á d a
# ʧʲ á j	ʧʲ á j a
# ʧʲ í zʲ e lʲ	ʧʲ í zʲ e lʲ a
# ʃ á bʲ e r	ʃ á bʲ e r a
# ʃ ó l k	ʃ ó l k a
# ʃ kʲ é n tʲ e lʲ	ʃ kʲ é n tʲ e lʲ a
# ʃ p á tʲ e lʲ	ʃ p á tʲ e lʲ a
# ʃ p á x tʲ e lʲ	ʃ p á x tʲ e lʲ a
# ʃ pʲ í n dʲ e lʲ	ʃ pʲ í n dʲ e lʲ a
# ʃ tʲ í xʲ e lʲ	ʃ tʲ í xʲ e lʲ a
# j a n i ʧʲ á r	j a n i ʧʲ á r a
# g l ú ʃ	g l u ʃ í
# g r ó b	g r o b á
# k ú m ʒ a	k ú m ʒ i
# k ʃ á t rʲ i j a	k ʃ á t rʲ i j i
# p á rʲ i j a	p á rʲ i j i
# r a s tʲ é rʲ a	r a s tʲ é rʲ i
# s ó nʲ a	s ó nʲ i
# m á j j a	m á j j i
# m á k	m á k a
# m a k á k a	m a k á kʲ i
# m a k a r ó nʲ i n a	m a k a r ó nʲ i n i
# m a kʲ e d ó n k a	m a kʲ e d ó n kʲ i
# m a kʲ é t ʧʲ i ʦ a	m a kʲ é t ʧʲ i ʦ i
# m a kʲ í t r a	m a kʲ í t r i
# m á k kʲ i j a	m á k kʲ i j i
# m a k l á ʧʲ k a	m a k l á ʧʲ kʲ i
# m á k o vʲ i n a	m á k o vʲ i n i
# m á k o vʲ i ʦ a	m á k o vʲ i ʦ i
# m á k o v k a	m á k o v kʲ i
