#	This file contains the features of segments that I was able to obtain from Michael Becker.
#	Each feature is represented by a column of numbers and for every segment has the value of either
#	Feature names are collected every time the aligner goes through this file, but not
#	 stored at this time.  Potentially in the future they might be more actively used.
#	The question at this time is whether or not to expand the number of features in question to include
#	 for example, stress, duration of vowels etc.
consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constricted_gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense	stressed
p	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
# for now palatalized consonants are denoted  by setting front and high to 1
pʲ	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	1	0	1	0	0	0
b	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
bʲ	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	1	0	1	0	0	0
ɸ	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
β	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
m	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
mʲ	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	1	0	1	0	0	0
ʙ	1	1	1	1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0
p͡f	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0
f	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0
fʲ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	1	0	1	0	0	0
v	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0
vʲ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	1	0	1	0	0	0
ɱ	1	1	-1	0	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0
ʋ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0
t̪	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0	0
d̪	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0	0
θ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0	0
ð	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	0	0
t	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0	0
tʲ	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	0	1	0	0	0
d	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0	0
dʲ	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	0	1	0	0	0
ʦ	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	0	0	0	0	0
ʦʲ	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	0	1	0	0	0
d͡z	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	0	0	0	0	0
t͡ɬ	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0	0
s	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	0	0	0	0	0
sʲ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	0	1	0	0	0
z	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	0	0	0	0	0
zʲ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	0	1	0	0	0
n	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0	0
nʲ	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	0	1	0	0	0
l	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0	0
lʲ	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	0	1	0	0	0
ɬ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0	0
ɮ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0	0
ɾ	1	1	1	0	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0	0
ɺ	1	1	1	0	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	0	0	0	0
r	1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0	0	0	0
rʲ	1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	0	1	0	0	0
ʧ	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0	0
ʧʲ	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	0	1	0	0	0
ʤ	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0	0
ʤʲ	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	0	1	0	0	0
ʃ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	0	0	0	0	0
ʃʲ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	0	1	0	0	0
